1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
25,18,Set 1; 0:0; 0:0*,5008,Neil Chulani,Anirudh Gupta,Winner/Provoked Point,Provoked Point,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Approach Shot,Down the line,Ending shot. Net Area,Ending shot. Middle,Neil Chulani,2nd serve,Deuce court (Body),Return. Backhand,Anirudh Gupta,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
90,13,Set 1; 0:0; 0:15*,5017,Neil Chulani,Anirudh Gupta,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Middle,Neil Chulani,2nd serve,Ad court (Wide),Return. Backhand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
141,10,Set 1; 0:0; 0:30*,5022,Neil Chulani,Anirudh Gupta,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Cross,Ending shot. Defensive,Ending shot. Short,Neil Chulani,1st serve,Deuce court (T),Return. Backhand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
182,13,Set 1; 0:0; 0:40*,5028,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Cross,Ending shot. Half court zone,Ending shot. Deep,Neil Chulani,1st serve,Ad court (T),Return. Forehand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
236,8,Set 1; 0:0; 15:40*,5033,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Defensive,Ending shot. Short,Neil Chulani,2nd serve,Deuce court (Body),Return. Forehand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
282,21,Set 1; 0:0; 30:40*,5045,Neil Chulani,Anirudh Gupta,Winner/Provoked Point,Winner,9+ shots,11,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Passing Shot,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Neil Chulani,1st serve,Ad court (Wide),Return. Backhand,Anirudh Gupta,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
380,7,Set 1; 0:1; *0:0,5049,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Anirudh Gupta,2nd serve,Deuce court (T),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Deep,,,,,,Not a Cheap point,
424,5,Set 1; 0:1; *15:0,5051,Neil Chulani,Anirudh Gupta,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Anirudh Gupta,2nd serve,Ad court (Wide),,Neil Chulani,,,,,,,,,,Not a Cheap point,
442,8,Set 1; 0:1; *15:15,5054,Neil Chulani,Anirudh Gupta,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Anirudh Gupta,1st serve,Deuce court (Wide),Return. Forehand,Neil Chulani,Return. Slice,Cross,Return. Neutral defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
457,15,Set 1; 0:1; *15:30,5062,Anirudh Gupta,Neil Chulani,Winner/Provoked Point,Provoked Point,5-8 shots,8,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Cross,Ending shot. Half court zone,Ending shot. Deep,Anirudh Gupta,1st serve,Ad court (T),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
508,28,Set 1; 0:1; *30:30,5081,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,9+ shots,16,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Aggressive,Ending shot. Deep,Anirudh Gupta,2nd serve,Deuce court (T),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
560,12,Set 1; 0:1; *40:30,5087,Anirudh Gupta,Neil Chulani,Winner/Provoked Point,Winner,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Middle,Anirudh Gupta,1st serve,Ad court (Wide),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Cheap Point on serve,
606,17,Set 1; 1:1; 0:0*,5097,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Aggressive,Ending shot. Deep,Neil Chulani,1st serve,Deuce court (T),Return. Backhand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
656,10,Set 1; 1:1; 15:0*,5102,Neil Chulani,Anirudh Gupta,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside center,Ending shot. Defensive,Ending shot. Short,Neil Chulani,1st serve,Ad court (T),Return. Forehand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
719,8,Set 1; 1:1; 15:15*,5107,Anirudh Gupta,Neil Chulani,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Neil Chulani,2nd serve,Deuce court (T),Return. Backhand,Anirudh Gupta,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
