1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
66,11,Set 1; 0:0; *0:0,5006,Ben Lammert,Luke Feng,Winner/Provoked Point,Winner,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Short,Ben Lammert,2nd serve,Deuce court (Wide),Return. Forehand,Luke Feng,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on serve,
116,14,Set 1; 0:0; *15:0,5014,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Ben Lammert,1st serve,Ad court (T),Return. Forehand,Luke Feng,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
154,6,Set 1; 0:0; *15:15,5016,Ben Lammert,Luke Feng,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Ben Lammert,1st serve,Deuce court (Wide),Return. Forehand,Luke Feng,Return. Slice,Down the line,Return. Neutral basic,Return. Short,,,,,,Cheap Point on serve,
180,8,Set 1; 0:0; *30:15,5020,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Ben Lammert,1st serve,Ad court (T),Return. Forehand,Luke Feng,Return. Topspin/Flat,Cross,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
216,9,Set 1; 0:0; *30:30,5026,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,3-4 shots,4,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Cross,Ending shot. Defensive,Ending shot. Short,Ben Lammert,2nd serve,Deuce court (T),Return. Backhand,Luke Feng,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
236,11,Set 1; 0:0; *40:30,5032,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Passing Shot,Cross,Ending shot. Defensive,Ending shot. Deep,Ben Lammert,1st serve,Ad court (Wide),Return. Backhand,Luke Feng,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
276,7,Set 1; 0:0; *40:40,5037,Ben Lammert,Luke Feng,Winner/Provoked Point,Winner,3-4 shots,3,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Middle,Ben Lammert,2nd serve,Ad court (Body),Return. Backhand,Luke Feng,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Cheap Point on serve,
351,6,Set 1; 1:0; 0:0*,5040,Luke Feng,Ben Lammert,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Defensive,Ending shot. Short,Luke Feng,1st serve,Deuce court (Body),Return. Forehand,Ben Lammert,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,,,,,,Not a Cheap point,
407,5,Set 1; 1:0; 0:15*,5042,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Luke Feng,2nd serve,Ad court (T),,Ben Lammert,,,,,,,,,,Not a Cheap point,
427,16,Set 1; 1:0; 15:15*,5051,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Luke Feng,1st serve,Deuce court (Wide),Return. Forehand,Ben Lammert,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
466,9,Set 1; 1:0; 30:15*,5057,Luke Feng,Ben Lammert,Winner/Provoked Point,Winner,5-8 shots,5,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Luke Feng,1st serve,Ad court (Wide),Return. Backhand,Ben Lammert,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Net Area,Serve + 1 shot. Middle,Cheap Point on serve,
515,5,Set 1; 1:0; 30:30*,5060,Ben Lammert,Luke Feng,Unforced Error,Unforced Error,1-2 shots,1,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Serve,,,,,Luke Feng,2nd serve,Deuce court (Wide),,Ben Lammert,,,,,,,,,,Not a Cheap point,
