1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
2,5,Set 1; 0:0; *15:0,5001,Caleb Settles,Neil Chulani,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Caleb Settles,1st serve,Ad court (T),,Neil Chulani,,,,,,,,,,Ace/Serve-winner,
21,6,Set 1; 0:0; *30:0,5002,Caleb Settles,Neil Chulani,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Caleb Settles,1st serve,Deuce court (T),Return. Backhand,Neil Chulani,Return. Slice,Cross,Return. Defensive,Return. Short,,,,,,Cheap Point on serve,
48,12,Set 1; 0:0; *40:0,5010,Caleb Settles,Neil Chulani,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Defensive,Ending shot. Deep,Caleb Settles,2nd serve,Ad court (Wide),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
155,6,Set 1; 1:0; 0:0*,5014,Neil Chulani,Caleb Settles,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Neil Chulani,2nd serve,Deuce court (Body),Return. Forehand,Caleb Settles,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,,,,,,Not a Cheap point,
187,5,Set 1; 1:0; 0:15*,5015,Neil Chulani,Caleb Settles,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Neil Chulani,1st serve,Ad court (T),Return. Forehand,Caleb Settles,Return. Slice,Cross,Return. Neutral aggressive,Return. Short,,,,,,Cheap Point on serve,
213,21,Set 1; 1:0; 0:30*,5029,Caleb Settles,Neil Chulani,Unforced Error,Unforced Error,9+ shots,13,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Neil Chulani,1st serve,Deuce court (T),Return. Backhand,Caleb Settles,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
261,5,Set 1; 1:0; 15:30*,5031,Neil Chulani,Caleb Settles,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Neil Chulani,1st serve,Ad court (Wide),Return. Backhand,Caleb Settles,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,,,,,,Cheap Point on serve,
282,8,Set 1; 1:0; 15:40*,5035,Neil Chulani,Caleb Settles,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Neutral Aggressive,Ending shot. Middle,Neil Chulani,1st serve,Deuce court (Wide),Return. Forehand,Caleb Settles,Return. Slice,Center,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on serve,
310,6,Set 1; 1:1; *0:0,5038,Caleb Settles,Neil Chulani,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Caleb Settles,1st serve,Deuce court (T),Return. Backhand,Neil Chulani,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,,,,,,Cheap Point on serve,
333,6,Set 1; 1:1; *15:0,5042,Caleb Settles,Neil Chulani,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Deep,Caleb Settles,2nd serve,Ad court (Body),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
364,5,Set 1; 1:1; *30:0,5044,Caleb Settles,Neil Chulani,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Caleb Settles,2nd serve,Deuce court (T),Return. Forehand,Neil Chulani,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,,,,,,Cheap Point on serve,
387,12,Set 1; 1:1; *40:0,5052,Caleb Settles,Neil Chulani,Winner/Provoked Point,Winner,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Drop Shot,,Ending shot. Net Area,Ending shot. Short,Caleb Settles,1st serve,Ad court (Wide),Return. Backhand,Neil Chulani,Return. Approach Shot,Down the line,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
509,7,Set 1; 2:1; 0:0*,5057,Caleb Settles,Neil Chulani,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Middle,Neil Chulani,2nd serve,Deuce court (Body),Return. Forehand,Caleb Settles,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
537,5,Set 1; 2:1; 15:0*,5059,Neil Chulani,Caleb Settles,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Neil Chulani,1st serve,Ad court (Wide),Return. Backhand,Caleb Settles,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,,,,,,Cheap Point on serve,
576,13,Set 1; 2:1; 15:15*,5068,Caleb Settles,Neil Chulani,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside center,Ending shot. Neutral Defensive,Ending shot. Short,Neil Chulani,2nd serve,Deuce court (T),Return. Backhand,Caleb Settles,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
616,5,Set 1; 2:1; 30:15*,5070,Neil Chulani,Caleb Settles,Winner/Provoked Point,Provoked Point,1-2 shots,2,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Serve,,,,,Neil Chulani,1st serve,Ad court (T),Return. Forehand,Caleb Settles,Return. Slice,Cross,Return. Neutral aggressive,Return. Middle,,,,,,Cheap Point on serve,
656,10,Set 1; 2:1; 30:30*,5077,Caleb Settles,Neil Chulani,Unforced Error,Unforced Error,5-8 shots,5,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Middle,Neil Chulani,2nd serve,Deuce court (T),Return. Forehand,Caleb Settles,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
717,14,Set 1; 2:1; 40:30*,5086,Neil Chulani,Caleb Settles,Winner/Provoked Point,Winner,5-8 shots,7,Break Point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Deep,Neil Chulani,2nd serve,Ad court (Wide),Return. Backhand,Caleb Settles,Return. Lob,Center,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Smash,,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
