1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
24,11,Set 1; 0:0; 0:0*,5005,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,John Wehrle,1st serve,Deuce court (Wide),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
44,6,Set 1; 0:0; 15:0*,5008,John Wehrle,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Deep,John Wehrle,1st serve,Ad court (Wide),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
59,6,Set 1; 0:0; 15:15*,5010,John Wehrle,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Short,John Wehrle,1st serve,Deuce court (T),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,,,,,,Not a Cheap point,
93,14,Set 1; 0:0; 15:30*,5019,Ethan Zou,John Wehrle,Winner/Provoked Point,Winner,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Cross,Ending shot. Defensive,Ending shot. Short,John Wehrle,2nd serve,Ad court (T),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
138,5,Set 1; 0:0; 30:30*,5022,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,1-2 shots,1,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Serve,,,,,John Wehrle,2nd serve,Deuce court (Wide),,Ethan Zou,,,,,,,,,,Not a Cheap point,
169,11,Set 1; 0:0; 40:30*,5027,Ethan Zou,John Wehrle,Winner/Provoked Point,Provoked Point,5-8 shots,5,Break Point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Defensive,Ending shot. Deep,John Wehrle,2nd serve,Ad court (T),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Cheap Point on return,
264,23,Set 1; 1:0; *0:0,5043,Ethan Zou,John Wehrle,Winner/Provoked Point,Provoked Point,9+ shots,14,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Deep,Ethan Zou,2nd serve,Deuce court (T),Return. Forehand,John Wehrle,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Defensive,Serve + 1 shot. Middle,Not a Cheap point,
311,10,Set 1; 1:0; *15:0,5049,Ethan Zou,John Wehrle,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside center,Ending shot. Neutral Defensive,Ending shot. Deep,Ethan Zou,1st serve,Ad court (T),Return. Forehand,John Wehrle,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
333,6,Set 1; 1:0; *30:0,5051,Ethan Zou,John Wehrle,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Ethan Zou,1st serve,Deuce court (T),Return. Backhand,John Wehrle,Return. Slice,Down the line,Return. Neutral basic,Return. Short,,,,,,Cheap Point on serve,
354,6,Set 1; 1:0; *40:0,5053,Ethan Zou,John Wehrle,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Ethan Zou,1st serve,Ad court (T),Return. Forehand,John Wehrle,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,,,,,,Cheap Point on serve,
