1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
36,7,Set 1; 0:0; 0:0*,5002,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Leo Rocca,1st serve,Deuce court (T),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,,,,,,Not a Cheap point,
54,16,Set 1; 0:0; 0:15*,5010,Ethan Zou,Leo Rocca,Winner/Provoked Point,Winner,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Lob,,Ending shot. Neutral Defensive,Ending shot. Deep,Leo Rocca,1st serve,Ad court (Wide),Return. Backhand,Ethan Zou,Return. Topspin/Flat,Cross,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
104,18,Set 1; 0:0; 15:15*,5021,Leo Rocca,Ethan Zou,Winner/Provoked Point,Winner,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley Smash,,Ending shot. Net Area,Ending shot. Short,Leo Rocca,2nd serve,Deuce court (T),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
152,13,Set 1; 0:0; 15:30*,5029,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Leo Rocca,2nd serve,Ad court (Body),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
180,9,Set 1; 0:0; 15:40*,5034,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Short,Leo Rocca,1st serve,Deuce court (Wide),Return. Forehand,Ethan Zou,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
254,6,Set 1; 0:1; *0:0,5037,Ethan Zou,Leo Rocca,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Slice,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Ethan Zou,1st serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Slice,Down the line,Return. Neutral aggressive,Return. Short,,,,,,Not a Cheap point,
286,10,Set 1; 0:1; *15:0,5042,Ethan Zou,Leo Rocca,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Ethan Zou,2nd serve,Ad court (Body),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
309,15,Set 1; 0:1; *30:0,5051,Ethan Zou,Leo Rocca,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Middle,Ethan Zou,1st serve,Deuce court (Body),Return. Forehand,Leo Rocca,Return. Topspin/Flat,Center,Return. Half court zone,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
340,8,Set 1; 0:1; *40:0,5055,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Half court zone,Ending shot. Short,Ethan Zou,1st serve,Ad court (Wide),Return. Forehand,Leo Rocca,Return. Slice,Center,Return. Half court zone,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
381,21,Set 1; 0:1; *40:15,5070,Leo Rocca,Ethan Zou,Unforced Error,Unforced Error,9+ shots,13,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Ethan Zou,2nd serve,Deuce court (Wide),Return. Backhand,Leo Rocca,Return. Topspin/Flat,Center,Return. Half court zone,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
