1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
17,6,Set 1; 0:0; 30:30*,5003,Luke Feng,Josh Kim,Unforced Error,Unforced Error,1-2 shots,2,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Luke Feng,2nd serve,Deuce court (Body),Return. Backhand,Josh Kim,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
41,6,Set 1; 0:0; 30:40*,5004,Luke Feng,Josh Kim,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Luke Feng,1st serve,Ad court (T),Return. Forehand,Josh Kim,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,,,,,,Cheap Point on serve,
61,12,Set 1; 0:0; 40:40*,5011,Luke Feng,Josh Kim,Unforced Error,Unforced Error,5-8 shots,6,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Deep,Luke Feng,1st serve,Deuce court (T),Return. Backhand,Josh Kim,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Middle,Not a Cheap point,
142,9,Set 1; 0:1; *0:0,5017,Josh Kim,Luke Feng,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Defensive,Ending shot. Deep,Josh Kim,2nd serve,Deuce court (T),Return. Backhand,Luke Feng,Return. Topspin/Flat,Center,Return. Defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Not a Cheap point,
164,6,Set 1; 0:1; *15:0,5019,Josh Kim,Luke Feng,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Josh Kim,1st serve,Ad court (Wide),Return. Backhand,Luke Feng,Return. Topspin/Flat,Down the line,Return. Defensive,Return. Deep,,,,,,Cheap Point on serve,
192,5,Set 1; 0:1; *30:0,5022,Luke Feng,Josh Kim,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Josh Kim,2nd serve,Deuce court (T),,Luke Feng,,,,,,,,,,Not a Cheap point,
209,12,Set 1; 0:1; *30:15,5028,Josh Kim,Luke Feng,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Half court zone,Ending shot. Middle,Josh Kim,1st serve,Ad court (Wide),Return. Backhand,Luke Feng,Return. Topspin/Flat,Cross,Return. Defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
234,6,Set 1; 0:1; *40:15,5030,Josh Kim,Luke Feng,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Josh Kim,1st serve,Deuce court (Wide),Return. Forehand,Luke Feng,Return. Slice,Down the line,Return. Neutral basic,Return. Short,,,,,,Cheap Point on serve,
267,16,Set 1; 1:1; 0:0*,5039,Luke Feng,Josh Kim,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Defensive,Ending shot. Deep,Luke Feng,1st serve,Deuce court (Body),Return. Backhand,Josh Kim,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
311,6,Set 1; 1:1; 0:15*,5043,Luke Feng,Josh Kim,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside center,Ending shot. Neutral Aggressive,Ending shot. Deep,Luke Feng,2nd serve,Ad court (Body),Return. Forehand,Josh Kim,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,,,,,,Not a Cheap point,
