1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
52,5,Set 1; 0:0; 0:0*,5002,Sam English,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Charlie Coleman,2nd serve,Deuce court (T),,Sam English,,,,,,,,,,Not a Cheap point,
69,6,Set 1; 0:0; 15:0*,5004,Charlie Coleman,Sam English,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Charlie Coleman,1st serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral defensive,Return. Short,,,,,,Not a Cheap point,
101,6,Set 1; 0:0; 15:15*,5007,Charlie Coleman,Sam English,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Short,Charlie Coleman,2nd serve,Deuce court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Short,,,,,,Not a Cheap point,
127,13,Set 1; 0:0; 15:30*,5014,Sam English,Charlie Coleman,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Defensive,Ending shot. Short,Charlie Coleman,1st serve,Ad court (T),Return. Forehand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
164,8,Set 1; 0:0; 30:30*,5019,Sam English,Charlie Coleman,Unforced Error,Unforced Error,3-4 shots,3,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Charlie Coleman,2nd serve,Deuce court (Wide),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
195,5,Set 1; 0:0; 40:30*,5021,Charlie Coleman,Sam English,Winner/Provoked Point,Winner,1-2 shots,1,Break Point,Beginning: 1-4 game,Ending shot. Serve,,,,,Charlie Coleman,1st serve,Ad court (T),,Sam English,,,,,,,,,,Ace/Serve-winner,
232,15,Set 1; 0:0; 40:40*,5029,Charlie Coleman,Sam English,Winner/Provoked Point,Provoked Point,5-8 shots,8,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Charlie Coleman,2nd serve,Deuce court (Wide),Return. Forehand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
321,9,Set 1; 0:1; *0:0,5035,Sam English,Charlie Coleman,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Sam English,1st serve,Deuce court (Body),Return. Backhand,Charlie Coleman,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
341,6,Set 1; 0:1; *15:0,5038,Sam English,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Sam English,1st serve,Ad court (Wide),Return. Backhand,Charlie Coleman,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Short,,,,,,Not a Cheap point,
365,13,Set 1; 0:1; *30:0,5044,Charlie Coleman,Sam English,Winner/Provoked Point,Winner,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Defensive,Ending shot. Middle,Sam English,1st serve,Deuce court (Wide),Return. Forehand,Charlie Coleman,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Cheap Point on return,
393,6,Set 1; 0:1; *30:15,5047,Sam English,Charlie Coleman,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Inside center,Ending shot. Neutral Defensive,Ending shot. Short,Sam English,1st serve,Ad court (T),Return. Forehand,Charlie Coleman,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Short,,,,,,Not a Cheap point,
422,7,Set 1; 0:1; *40:15,5050,Charlie Coleman,Sam English,Winner/Provoked Point,Winner,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Sam English,2nd serve,Deuce court (Wide),Return. Forehand,Charlie Coleman,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,,,,,,Cheap Point on return,
446,12,Set 1; 0:1; *40:30,5056,Sam English,Charlie Coleman,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Short,Sam English,1st serve,Ad court (Body),Return. Backhand,Charlie Coleman,Return. Topspin/Flat,Down the line,Return. Neutral defensive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
497,9,Set 1; 1:1; 0:0*,5062,Charlie Coleman,Sam English,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Deep,Charlie Coleman,2nd serve,Deuce court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
531,7,Set 1; 1:1; 0:15*,5067,Sam English,Charlie Coleman,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Slice,Inside out,Ending shot. Neutral Aggressive,Ending shot. Deep,Charlie Coleman,2nd serve,Ad court (Body),Return. Backhand,Sam English,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Slice,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
559,7,Set 1; 1:1; 15:15*,5072,Charlie Coleman,Sam English,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Approach Shot,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Charlie Coleman,2nd serve,Deuce court (Wide),Return. Forehand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Cheap Point on serve,
586,14,Set 1; 1:1; 15:30*,5079,Sam English,Charlie Coleman,Winner/Provoked Point,Provoked Point,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Cross,Ending shot. Neutral Aggressive,Ending shot. Middle,Charlie Coleman,1st serve,Ad court (T),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
622,5,Set 1; 1:1; 30:30*,5082,Charlie Coleman,Sam English,Winner/Provoked Point,Winner,1-2 shots,1,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Serve,,,,,Charlie Coleman,1st serve,Deuce court (Wide),,Sam English,,,,,,,,,,Ace/Serve-winner,
647,10,Set 1; 1:1; 30:40*,5085,Sam English,Charlie Coleman,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Smash,,Ending shot. Half court zone,Ending shot. Short,Charlie Coleman,1st serve,Ad court (Wide),Return. Backhand,Sam English,Return. Lob,Cross,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Smash,,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Not a Cheap point,
