1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
27,5,Set 1; 0:0; 0:0*,5003,Lucas Elkins,Sam English,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Lucas Elkins,2nd serve,Deuce court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
59,5,Set 1; 0:0; 0:15*,5005,Sam English,Lucas Elkins,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Lucas Elkins,2nd serve,Ad court (Wide),,Sam English,,,,,,,,,,Not a Cheap point,
86,16,Set 1; 0:0; 15:15*,5014,Lucas Elkins,Sam English,Winner/Provoked Point,Winner,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Half court zone,Ending shot. Middle,Lucas Elkins,1st serve,Deuce court (T),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Middle,Not a Cheap point,
123,8,Set 1; 0:0; 15:30*,5018,Lucas Elkins,Sam English,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Half court zone,Ending shot. Short,Lucas Elkins,1st serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Volley,,Serve + 1 shot. Half court zone,Serve + 1 shot. Short,Cheap Point on serve,
160,5,Set 1; 0:0; 15:40*,5021,Sam English,Lucas Elkins,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Lucas Elkins,2nd serve,Deuce court (T),,Sam English,,,,,,,,,,Not a Cheap point,
216,16,Set 1; 0:0; 30:40*,5031,Lucas Elkins,Sam English,Winner/Provoked Point,Winner,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Middle,Lucas Elkins,2nd serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
359,6,Set 1; 0:1; *0:0,5035,Lucas Elkins,Sam English,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Sam English,1st serve,Deuce court (T),Return. Backhand,Lucas Elkins,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
378,5,Set 1; 0:1; *0:15,5037,Sam English,Lucas Elkins,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Sam English,1st serve,Ad court (T),,Lucas Elkins,,,,,,,,,,Ace/Serve-winner,
413,8,Set 1; 0:1; *15:15,5041,Lucas Elkins,Sam English,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Sam English,2nd serve,Deuce court (T),Return. Backhand,Lucas Elkins,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Not a Cheap point,
436,7,Set 1; 0:1; *15:30,5044,Lucas Elkins,Sam English,Winner/Provoked Point,Provoked Point,3-4 shots,3,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Sam English,1st serve,Ad court (T),Return. Backhand,Lucas Elkins,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on return,
450,7,Set 1; 0:1; *15:40,5047,Sam English,Lucas Elkins,Winner/Provoked Point,Provoked Point,1-2 shots,2,Break Point,Beginning: 1-4 game,Ending shot. Serve,,,,,Sam English,1st serve,Deuce court (T),Return. Backhand,Lucas Elkins,Return. Slice,Cross,Return. Neutral basic,Return. Short,,,,,,Cheap Point on serve,
481,7,Set 1; 0:1; *30:40,5051,Sam English,Lucas Elkins,Unforced Error,Unforced Error,1-2 shots,2,Break Point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Center,Ending shot. Half court zone,Ending shot. Deep,Sam English,2nd serve,Ad court (Wide),Return. Backhand,Lucas Elkins,Return. Topspin/Flat,Center,Return. Half court zone,Return. Deep,,,,,,Not a Cheap point,
534,7,Set 1; 0:1; *40:40,5055,Lucas Elkins,Sam English,Unforced Error,Unforced Error,3-4 shots,3,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Defensive,Ending shot. Deep,Sam English,2nd serve,Ad court (Body),Return. Backhand,Lucas Elkins,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Not a Cheap point,
566,11,Set 1; 0:2; 0:0*,5062,Lucas Elkins,Sam English,Unforced Error,Unforced Error,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Cross,Ending shot. Neutral Defensive,Ending shot. Deep,Lucas Elkins,1st serve,Deuce court (Body),Return. Backhand,Sam English,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Inside center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Not a Cheap point,
