1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
96,12,Set 1; 0:0; 0:0*,5006,Sam English,Talman Ramsey,Winner/Provoked Point,Winner,5-8 shots,6,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside in,Ending shot. Net Area,Ending shot. Deep,Talman Ramsey,1st serve,Deuce court (Body),Return. Forehand,Sam English,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on return,
126,12,Set 1; 0:0; 15:0*,5014,Sam English,Talman Ramsey,Winner/Provoked Point,Provoked Point,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Inside out,Ending shot. Neutral Aggressive,Ending shot. Deep,Talman Ramsey,2nd serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
204,5,Set 1; 0:0; 30:0*,5018,Sam English,Talman Ramsey,Unforced Error,Unforced Error,1-2 shots,1,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Serve,,,,,Talman Ramsey,2nd serve,Deuce court (T),,Sam English,,,,,,,,,,Not a Cheap point,
231,6,Set 1; 0:0; 40:0*,5021,Talman Ramsey,Sam English,Unforced Error,Unforced Error,1-2 shots,2,Break Point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Aggressive,Ending shot. Deep,Talman Ramsey,2nd serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
264,5,Set 1; 0:0; 40:15*,5023,Sam English,Talman Ramsey,Unforced Error,Unforced Error,1-2 shots,1,Break Point,Beginning: 1-4 game,Ending shot. Serve,,,,,Talman Ramsey,2nd serve,Deuce court (Body),,Sam English,,,,,,,,,,Not a Cheap point,
324,10,Set 1; 1:0; *0:0,5028,Talman Ramsey,Sam English,Unforced Error,Unforced Error,5-8 shots,5,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Sam English,1st serve,Deuce court (T),Return. Backhand,Talman Ramsey,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Not a Cheap point,
347,13,Set 1; 1:0; *0:15,5036,Talman Ramsey,Sam English,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside center,Ending shot. Neutral Defensive,Ending shot. Short,Sam English,1st serve,Ad court (T),Return. Forehand,Talman Ramsey,Return. Topspin/Flat,Center,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
377,14,Set 1; 1:0; *0:30,5044,Sam English,Talman Ramsey,Winner/Provoked Point,Winner,5-8 shots,7,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Deep,Sam English,1st serve,Deuce court (T),Return. Backhand,Talman Ramsey,Return. Slice,Down the line,Return. Neutral basic,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Not a Cheap point,
416,15,Set 1; 1:0; *15:30,5053,Sam English,Talman Ramsey,Unforced Error,Unforced Error,5-8 shots,8,15:30 and 0:30,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Center,Ending shot. Neutral Aggressive,Ending shot. Short,Sam English,1st serve,Ad court (Wide),Return. Backhand,Talman Ramsey,Return. Topspin/Flat,Center,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
450,29,Set 1; 1:0; *30:30,5071,Talman Ramsey,Sam English,Unforced Error,Unforced Error,9+ shots,17,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Half court zone,Ending shot. Short,Sam English,1st serve,Deuce court (Wide),Return. Forehand,Talman Ramsey,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Short,Not a Cheap point,
528,6,Set 1; 1:0; *30:40,5076,Talman Ramsey,Sam English,Unforced Error,Unforced Error,3-4 shots,3,Break Point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside in,Ending shot. Neutral Aggressive,Ending shot. Short,Sam English,2nd serve,Ad court (Body),Return. Forehand,Talman Ramsey,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside in,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
